crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,const
706.6572141,0,24,46,240,322,764,56,4,43727,1
701.4217103999999,69,110,3554,2141,5401,29256,5381,211,837442,1
699.9351912000001,0,2,21,85,231,415,41,2,15430,1
696.3544912000001,23,54,331,1425,2686,6047,1358,83,263228,1
696.1038338,307,1143,12449,16290,43644,114208,20829,1153,4336853,1
695.7773512,13,17,7,253,467,1089,93,14,41680,1
694.8738489,83,398,1137,3630,10118,23238,4163,145,755245,1
694.3307687999999,7,42,67,393,540,1615,127,18,73308,1
693.1802269,2,4,6,87,128,286,13,8,14282,1
690.2502157,0,3,0,5,18,20,5,0,1159,1
689.8666258,0,0,14,31,21,49,7,0,6523,1
688.2474551,0,9,23,231,387,1084,50,3,38213,1
685.1530769999999,94,739,4422,8639,17538,33364,8213,297,2027868,1
681.1689739,0,0,6,25,34,53,8,1,4551,1
675.0828044,6,133,57,657,725,2325,189,29,126503,1
675.0616643,4,8,15,129,211,607,68,5,23109,1
673.8186009,1,4,4,143,110,266,25,6,22558,1
673.754211,3,10,6,135,117,164,15,3,22857,1
668.2847357999999,8,6,24,163,318,1289,24,0,30077,1
667.0754469,84,77,1297,1512,5806,15182,671,213,445227,1
664.1948589,17,137,576,1142,3378,7002,641,25,281845,1
663.1299735,0,9,0,31,38,55,11,3,6032,1
662.6310837,76,450,1977,5616,14034,32034,4013,50,1225267,1
661.2459265,2,24,46,137,601,906,34,3,31607,1
659.9836619,121,132,2938,2021,4849,10759,5882,119,789565,1
658.9175982999999,0,2,19,157,286,688,47,1,27014,1
658.7270427,2,1,11,137,215,397,21,0,22923,1
658.496643,26,91,560,1619,3405,10133,1216,37,348673,1
656.0124347999999,210,570,6006,10383,21105,82992,9451,226,2617176,1
654.3979391,3,20,46,373,812,1317,53,3,67543,1
651.0862861,1,11,2,81,81,171,15,0,14591,1
650.100146,1,18,76,288,796,1468,67,11,58914,1
649.6395835,2,16,12,116,332,615,51,6,22474,1
646.2257665,0,20,5,116,184,489,21,5,21819,1
644.9835135,44,43,640,654,2068,6833,952,54,214114,1
644.4593237,5,2,3,68,206,48,17,0,11948,1
644.0599053,1,4,8,70,108,252,42,5,12887,1
639.3909155,0,3,34,136,315,842,50,6,27057,1
635.5530259999999,1,3,8,55,105,196,6,0,10542,1
634.6263548,1,8,10,159,204,544,43,3,28048,1
634.123325,24,66,1143,1764,1053,6586,463,0,472621,1
634.0093435,81,227,3932,6070,3623,22730,1592,0,1626159,1
633.9923403,0,20,27,198,326,832,30,16,38644,1
632.0428157,71,197,3420,5279,3165,19721,1385,0,1418733,1
630.3962024,114,317,5522,8522,5088,31814,2235,0,2296175,1
630.2492642000001,129,358,6235,9616,5742,35966,2524,0,2592149,1
629.7229219,0,0,1,34,30,60,5,0,5558,1
628.8580653,11,17,100,470,1125,1981,166,12,95093,1
626.0118726,2,9,16,147,420,472,41,4,27795,1
625.7222582,3,4,24,191,483,1033,89,15,35479,1
622.5464503,7,33,88,454,1073,2541,241,27,93487,1
622.3049784,0,7,18,102,203,336,27,17,20408,1
621.814203,0,15,37,181,595,646,52,8,37471,1
621.5464156,94,355,1436,3621,8025,27335,1712,96,885855,1
621.2408853,21,70,633,1066,3735,7491,772,61,288133,1
620.7066615,17,163,362,1219,2863,13016,1238,86,283870,1
619.9802734,0,3,6,79,103,64,9,2,14194,1
618.6978385,3,7,18,207,299,793,62,14,37983,1
617.6419817000001,21,201,416,1151,3158,10088,1073,57,289650,1
616.5739392,18,194,392,1567,2723,11976,491,41,352107,1
615.5337693,24,273,513,2301,4575,17136,1967,160,505415,1
615.3956886,3,14,61,264,735,1301,83,13,55574,1
615.303861,1,17,17,176,303,858,48,20,34292,1
614.7822368,17,98,436,1016,2642,7558,479,79,254887,1
613.6278747,1,0,0,229,119,251,21,7,37482,1
612.9051308999999,2,35,139,758,1654,1715,648,11,152389,1
612.5237549,6,77,97,600,1261,3804,199,12,127342,1
612.2359732000001,2,6,14,118,253,799,59,2,22867,1
610.3101467,71,117,1182,1760,3986,11325,1388,173,512854,1
609.9723385,0,11,26,221,334,687,126,10,42297,1
607.8019671,1,3,1,50,37,88,4,0,9049,1
605.2451953,10,138,253,1133,1917,6331,357,25,253451,1
604.5117216,1,4,36,205,522,802,62,7,40694,1
603.941007,14,53,347,723,1809,4545,290,61,188429,1
603.3578173999999,18,107,523,1445,3217,8556,919,33,346892,1
602.1686961,11,83,112,606,1405,2782,170,41,135012,1
601.8084495,4,11,39,145,440,785,116,17,33067,1
601.6847172,0,1,0,4,1,13,3,0,831,1
600.895452,1,38,54,519,681,2409,160,7,101848,1
600.0807801,18,55,157,914,2438,6372,835,36,190641,1
599.0808243,39,383,1170,2299,5152,14857,3688,98,649495,1
598.5634477000001,2,12,25,156,389,867,60,2,32578,1
597.9631879,1,3,8,51,117,127,25,7,10703,1
597.6004743999999,0,14,4,113,226,463,16,7,21921,1
596.6569350999999,566,463,15583,14657,34233,115634,20245,892,5240700,1
593.2458517000001,3,16,73,579,954,3388,263,4,112938,1
592.9851123,80,163,2140,1847,10669,21449,5575,184,713340,1
592.6303417,5,60,154,502,1218,3529,363,30,121661,1
591.1487457999999,0,4,24,83,339,429,34,7,18777,1
591.0895457,0,4,8,56,83,171,2,2,11335,1
590.856781,4,40,52,669,713,2662,197,32,129473,1
590.457901,16,90,286,554,1834,5085,1256,80,160384,1
590.1155643,0,6,4,38,46,161,19,3,8134,1
588.7879737000001,3,33,60,280,766,958,201,25,63860,1
588.0206009999999,0,9,6,130,243,583,28,4,24659,1
585.7833537,26,141,388,1449,2720,7699,404,14,342106,1
583.3274487000001,11,151,788,1776,4570,9836,1231,115,467319,1
582.5583436000001,1,6,4,155,310,442,90,1,28495,1
581.7888096,46,130,1167,1855,4310,12637,1015,22,549684,1
580.7976974,6,37,131,504,1710,3482,147,34,116736,1
580.1317417,1,29,53,264,488,1683,73,20,59814,1
579.2570797999999,1,6,9,110,128,401,16,0,21752,1
578.5625339,3,56,70,777,1077,4129,299,37,156595,1
577.3131534,20,189,451,2078,4000,11148,1254,67,474266,1
577.2429312,2,4,5,107,142,304,18,0,20442,1
576.7462264,78,266,1557,2465,8103,21941,2430,250,756832,1
575.8432818,65,174,1313,3424,10931,17584,6246,589,864124,1
575.2781772999999,28,71,693,728,4477,7068,1636,34,264220,1
572.6708732999999,0,15,1,92,143,271,23,0,18859,1
572.6556908,0,3,5,24,71,213,15,2,5588,1
571.0538102,2,30,26,299,663,1333,124,4,62516,1
570.6597383,0,20,0,226,181,691,27,4,43108,1
569.7787317000001,4,7,24,188,518,1223,50,4,39138,1
569.6670332,7,26,19,263,628,1596,133,7,55471,1
567.2493757,2,9,20,128,270,776,31,8,28030,1
566.9428696,0,0,0,65,49,285,10,3,11465,1
565.1757149,4,63,88,299,955,1979,124,27,80329,1
563.9848272999999,1,5,38,182,401,396,39,3,40072,1
562.7993899,30,95,728,980,6378,11924,999,104,325871,1
562.6092907000001,4,3,11,130,225,376,54,8,26306,1
562.2077466,0,22,16,170,601,830,121,25,36997,1
562.1649888999999,1,19,41,240,412,1329,73,3,53543,1
562.0279843,1,7,24,160,374,875,96,5,34162,1
561.3968313999999,3,17,36,298,451,896,160,5,63057,1
560.7115236000001,0,12,10,65,117,328,34,0,15516,1
560.2815072999999,4,129,226,789,1571,4040,166,47,204897,1
559.4542867,6,13,125,312,957,2814,112,8,81508,1
559.3459955,5,7,59,111,395,939,107,7,32538,1
558.2211677,34,88,502,750,2327,8972,759,62,246139,1
557.9399142000001,0,1,1,37,69,103,0,1,6990,1
557.9258287,0,0,0,17,16,37,2,1,3047,1
557.8430070000001,3,0,3,36,57,68,0,0,7529,1
557.6679341,1,4,13,158,369,425,51,9,31560,1
556.9251355,54,240,1886,3339,8340,25995,2295,233,990977,1
556.0937107999999,1,22,24,108,288,283,116,6,27873,1
555.679764,63,173,2450,2260,6050,20025,5092,159,890081,1
554.9178019999999,17,37,267,960,2110,6959,396,46,230845,1
554.7431702,1,18,35,185,446,1524,79,10,43083,1
553.8507597,1,2,4,67,99,194,15,0,13361,1
552.7632192000001,5,28,45,385,518,1640,80,11,83761,1
552.3100664,46,87,661,1493,4458,12315,1034,92,414079,1
551.2018597,7,28,69,356,823,1641,84,3,83454,1
551.0639921000001,7,32,316,512,2033,4567,164,33,157332,1
551.0599216,5,18,45,154,369,1514,68,16,40286,1
550.6712247,44,361,1206,3505,7392,24499,1755,167,929048,1
550.4493982999999,9,39,141,353,939,3602,248,43,98465,1
550.1382623,1,10,31,147,352,904,82,11,34355,1
549.9597405000001,8,37,48,269,756,2141,110,14,65823,1
549.2184199,0,0,0,13,18,24,2,0,2367,1
549.080241,5,30,148,371,764,2494,109,33,100896,1
547.6937429,79,383,2560,4986,11383,28679,8416,244,1462131,1
547.6516459,1,20,0,71,78,258,18,0,16799,1
547.1073719999999,38,129,788,1920,5551,12425,4085,117,525491,1
546.7734102000001,3,24,82,240,797,2288,160,3,63829,1
543.1643489,6,48,50,385,761,2218,130,19,90028,1
542.9200293,4,7,45,92,465,1081,34,9,27260,1
542.2809693,0,1,0,31,42,57,11,2,5901,1
540.6618899,7,28,55,199,732,1226,81,13,53453,1
539.8560384,1,0,3,77,115,346,10,2,15004,1
538.6947691,2,38,119,390,870,2362,138,45,101913,1
537.9223453,30,199,505,2229,3945,11867,847,64,550823,1
537.8731803999999,6,5,11,87,182,408,30,3,20265,1
536.6094754,12,60,104,812,1171,3265,230,29,184119,1
536.5518686,12,48,146,716,1299,3522,219,26,171838,1
535.9614638999999,8,99,469,1360,5413,11233,831,112,361220,1
534.2980847,76,170,1410,3448,10493,24451,6909,415,955272,1
534.1880342000001,4,47,161,693,1230,4743,213,196,169416,1
533.9308933,3,20,12,158,303,908,54,7,36147,1
533.4331571,0,7,13,94,173,324,11,1,21371,1
532.9385639999999,3,0,1,104,154,248,25,0,20265,1
531.3252552,1,15,30,93,508,769,38,3,26161,1
530.8742806,8,73,120,358,1042,2646,132,25,105298,1
529.8013245,2,0,8,26,75,171,2,1,6795,1
529.4705295,1,1,1,50,50,126,5,0,10010,1
529.2150075000001,4,119,192,590,1800,5164,305,61,171008,1
528.7814834,2,5,9,98,226,525,56,4,21559,1
528.2071265,5,12,25,202,444,659,42,5,46194,1
